Power_On_Hours,Total_TBW_TB,Total_TBR_TB,Temperature_C,Percent_Life_Used,Media_Errors,Unsafe_Shutdowns,CRC_Errors,Read_Error_Rate,Failure_Mode,Failure_Flag
5966,1065.04,33.94,36.49,42.11,0,1,0,0,0,0
5242,222.07,47.69,34.32,28.12,4,10,4,4,3,1
7804,96.09,788.32,36.31,8.03,0,1,0,0,0,0
3556,1889.53,631.33,28.99,44.37,0,5,16,12,4,1
5879,280.34,838.67,33.38,51.43,0,1,0,0,0,0
10314,830.2,1180.77,60.32,68.41,2,2,28,2,4,1
20801,2282.87,698.27,94.83,47.36,1,2,0,0,2,1
6968,1099.44,1521.05,45.59,71.96,0,1,17,3,4,1
29814,2379.89,2574.38,52.71,98.0,3,5,0,0,1,1
23860,366.43,584.02,98.74,80.74,2,1,1,2,2,1
23027,3188.81,2293.35,64.95,102.18,5,3,0,0,1,1
123,1119.24,723.38,47.97,7.32,0,0,0,0,0,0
2317,392.79,849.56,46.87,7.63,0,0,0,0,0,0
12749,968.67,67.69,52.63,69.95,0,0,0,0,0,0
21786,239.2,1924.41,91.76,65.35,1,2,1,1,2,1
5712,156.12,1112.12,65.4,36.01,1,2,17,1,4,1
7455,182.78,713.01,45.01,16.89,0,1,0,0,0,0
4916,664.16,646.19,49.52,77.49,4,14,0,3,3,1
21354,2895.78,2197.13,71.77,89.34,7,1,2,8,1,1
13393,1061.76,323.79,46.13,20.22,0,1,0,0,0,0
23982,1481.58,2220.16,70.59,98.54,14,6,1,22,5,1
7354,715.0,848.93,35.71,8.66,0,0,0,0,0,0
13623,1622.17,1606.97,39.61,75.41,0,4,22,5,4,1
14423,1402.43,834.56,59.1,17.16,0,5,19,5,4,1
3299,1078.79,953.14,36.58,62.95,0,1,0,0,0,0
4615,1142.39,1044.41,38.56,97.13,0,4,30,6,4,1
9150,4492.64,1806.11,51.43,121.53,1,3,1,4,1,1
42179,4920.21,2201.06,41.35,105.04,1,0,0,0,1,1
3719,542.94,401.77,48.01,67.84,9,13,3,1,3,1
14356,2455.8,568.81,94.08,91.96,3,1,0,1,2,1
3482,258.58,1178.39,77.95,76.04,14,4,2,15,5,1
